N,Z,A,Mass Excess (keV)
102,80,182,-23576.885
104,80,184,-26344.787
105,80,185,-26183.651
106,80,186,-28539.059
108,80,188,-30198.351
110,80,190,-31370.625
115,80,195,-31013.342
116,80,196,-31825.944
119,80,199,-29546.066
120,80,200,-29503.267
96,81,177,-3340.103
98,81,179,-8269.632
99,81,180,-9390.438
101,81,182,-13327.213
103,81,184,-16883.355
107,81,188,-22336.403
108,81,189,-24616.105
109,81,190,-24366.236
110,81,191,-26282.951
112,81,193,-27477.218
113,81,194,-26937.498
114,81,195,-28155.292
115,81,196,-27496.598
117,81,198,-27528.753
118,81,199,-28059.397
119,81,200,-27047.227
120,81,201,-27180.778
121,81,202,-25980.419
122,81,203,-25761.309
123,81,204,-24346.07
96,82,178,3573.371
98,82,180,-1941.069
99,82,181,-3110.631
100,82,182,-6824.556
101,82,183,-7580.008
103,82,185,-11541.211
104,82,186,-14680.897
105,82,187,-14986.955
109,82,191,-20291.243
110,82,192,-22551.846
111,82,193,-22229.255
113,82,195,-23738.039
114,82,196,-25348.234
119,82,201,-25271.033
120,82,202,-25940.608
121,82,203,-24786.483
122,82,204,-25109.815
123,82,205,-23770.162
124,82,206,-23785.506
104,83,187,-6383.275
105,83,188,-7194.8
106,83,189,-10064.664
108,83,191,-13239.351
109,83,192,-13534.537
110,83,193,-15884.563
111,83,194,-16023.02
112,83,195,-18025.567
113,83,196,-18009.032
114,83,197,-19687.196
115,83,198,-19373.851
116,83,199,-20797.616
120,83,203,-21524.893
121,83,204,-20645.927
122,83,205,-21065.569
123,83,206,-20028.201
126,83,209,-18258.589
127,83,210,-14791.905
128,83,211,-11859.116
102,84,186,4101.531
103,84,187,2823.808
106,84,190,-4562.708
107,84,191,-5068.731
110,84,194,-11004.617
112,84,196,-13468.731
113,84,197,-13393.078
114,84,198,-15473.278
115,84,199,-15238.829
117,84,201,-16521.166
118,84,202,-17941.569
119,84,203,-17310.819
120,84,204,-18341.045
121,84,205,-17521.398
122,84,206,-18188.668
124,84,208,-17469.207
125,84,209,-16366.015
126,84,210,-15953.06
127,84,211,-12432.492
128,84,212,-10369.408
129,84,213,-6653.519
106,85,191,3863.913
107,85,192,2925.742
108,85,193,-67.323
112,85,197,-6355.255
113,85,198,-6708.747
114,85,199,-8823.377
118,85,203,-12162.607
120,85,205,-12984.519
122,85,207,-13227.482
123,85,208,-12469.901
124,85,209,-12883.773
125,85,210,-11972.099
127,85,212,-8628.149
128,85,213,-6579.522
129,85,214,-3379.151
130,85,215,-1256.583
131,85,216,2256.678
132,85,217,4394.598
107,86,193,9042.92
108,86,194,5724.624
109,86,195,5050.285
110,86,196,1975.169
111,86,197,1510.368
112,86,198,-1230.32
113,86,199,-1559.846
114,86,200,-4000.454
115,86,201,-4107.413
116,86,202,-6274.561
119,86,205,-7709.764
120,86,206,-9132.918
121,86,207,-8634.742
122,86,208,-9655.389
123,86,209,-8941.049
125,86,211,-8755.33
126,86,212,-8659.219
127,86,213,-5695.949
129,86,215,-1168.99
130,86,216,253.312
132,86,218,5217.413
134,86,220,10611.994
135,86,221,14471.354
