N,Z,A,Mass Excess (keV)
56,42,98,-88115.98
57,42,99,-85970.106
58,42,100,-86193.029
60,42,102,-83560.866
61,42,103,-80954.331
62,42,104,-80343.748
63,42,105,-77330.788
44,43,87,-57690.052
45,43,88,-61670.301
46,43,89,-67394.857
47,43,90,-70724.696
50,43,93,-83606.116
51,43,94,-84158.332
53,43,96,-85821.648
54,43,97,-87224.436
55,43,98,-86432.214
57,43,100,-86020.951
61,43,104,-82498.969
64,43,107,-78749.967
65,43,108,-75922.831
45,44,89,-58369.424
47,44,91,-68239.833
49,44,93,-77216.723
52,44,96,-86080.385
53,44,97,-86120.564
55,44,99,-87625.385
56,44,100,-89227.391
57,44,101,-87958.113
58,44,102,-89106.435
60,44,104,-88095.763
61,44,105,-85934.543
64,44,108,-83661.404
65,44,109,-80738.455
66,44,110,-80072.629
47,45,92,-62999.095
48,45,93,-69011.81
49,45,94,-72907.623
50,45,95,-78340.616
51,45,96,-79687.732
53,45,98,-83175.219
55,45,100,-85591.13
59,45,104,-86959.344
61,45,106,-86362.656
62,45,107,-86863.711
65,45,110,-82828.693
67,45,112,-79731.052
68,45,113,-78766.944
69,45,114,-75710.275
48,46,94,-66102.281
50,46,96,-76183.42
51,46,97,-77805.852
53,46,99,-82182.861
54,46,100,-85212.672
55,46,101,-85432.145
56,46,102,-87902.963
57,46,103,-87456.98
58,46,104,-89395.123
59,46,105,-88417.905
60,46,106,-89907.543
62,46,108,-89524.215
63,46,109,-87606.484
64,46,110,-88330.904
67,46,113,-83590.5
69,46,115,-80425.822
70,46,116,-79831.026
49,47,96,-64511.645
50,47,97,-70904.027
51,47,98,-73066.425
53,47,100,-78137.969
54,47,101,-81334.384
56,47,103,-84802.702
57,47,104,-85116.47
58,47,105,-87070.848
60,47,107,-88406.7
61,47,108,-87606.792
63,47,110,-87457.306
64,47,111,-88215.447
65,47,112,-86583.729
66,47,113,-87026.825
67,47,114,-84930.811
68,47,115,-84982.587
69,47,116,-82542.664
71,47,118,-79553.802
72,47,119,-78645.759
50,48,98,-67636.425
51,48,99,-69931.132
52,48,100,-74194.595
53,48,101,-75836.466
54,48,102,-79659.702
55,48,103,-80651.626
57,48,105,-84333.849
58,48,106,-87132.153
59,48,107,-86990.325
60,48,108,-89252.423
61,48,109,-88504.33
62,48,110,-90347.969
63,48,111,-89252.247
64,48,112,-90574.857
66,48,114,-90014.934
67,48,115,-88084.48
68,48,116,-88712.489
70,48,118,-86701.649
71,48,119,-83976.939
74,48,122,-80612.384
76,48,124,-76699.436
51,49,100,-64178.146
52,49,101,-68544.901
53,49,102,-70694.896
54,49,103,-74632.397
55,49,104,-76182.675
56,49,105,-79640.582
57,49,106,-80608.15
58,49,107,-83566.667
60,49,109,-86489.526
61,49,110,-86469.969
62,49,111,-88392.05
64,49,113,-89367.123
65,49,114,-88569.807
66,49,115,-89536.357
67,49,116,-88249.758
68,49,117,-88943.035
70,49,119,-87698.658
71,49,120,-85727.741
72,49,121,-85834.593
74,49,123,-83429.034
76,49,125,-80412.308
50,50,100,-57148.146
51,50,101,-60305.624
52,50,102,-64934.896
55,50,105,-73338.001
56,50,106,-77353.698
61,50,111,-85938.581
