N,Z,A,Mass Excess (keV),A^2/3,Z(Z-1)/A^1/3,(N-Z)^2/A,(N-Z)/A,N/Z,ZEO,NEO,Zshell_category,Nshell_category,deltaZ,deltaN,proton_particles,proton_holes,neutron_particles,neutron_holes,nu_Z,nu_N,promiscuity,neighbor_N_plus_1_exists,neighbor_N_minus_1_exists,neighbor_Z_plus_1_exists,neighbor_Z_minus_1_exists
17,10,27,7050.91,8.999999999999998,30.0,1.8148148148148149,0.25925925925925924,1.7,0,1,2,2,2.0,3.0,2.0,10.0,9.0,3.0,2.0,3.0,1.2,1,1,1,1
16,11,27,-5517.791,8.999999999999998,36.666666666666664,0.9259259259259259,0.18518518518518517,1.4545454545454546,1,0,2,2,3.0,4.0,3.0,9.0,8.0,4.0,3.0,4.0,1.7142857142857142,1,1,1,1
15,12,27,-14586.594,8.999999999999998,44.0,0.3333333333333333,0.1111111111111111,1.25,0,1,2,2,4.0,5.0,4.0,8.0,7.0,5.0,4.0,5.0,2.2222222222222223,1,1,1,1
14,13,27,-17196.864,8.999999999999998,52.0,0.037037037037037035,0.037037037037037035,1.0769230769230769,1,0,2,2,5.0,6.0,5.0,7.0,6.0,6.0,5.0,6.0,2.727272727272727,1,1,1,1
13,14,27,-12384.505,8.999999999999998,60.666666666666664,0.037037037037037035,-0.037037037037037035,0.9285714285714286,0,1,2,2,6.0,5.0,6.0,6.0,5.0,7.0,6.0,5.0,2.727272727272727,1,1,1,1
12,15,27,-659.032,8.999999999999998,70.0,0.3333333333333333,-0.1111111111111111,0.8,1,0,2,2,5.0,4.0,7.0,5.0,4.0,8.0,5.0,4.0,2.2222222222222223,1,0,1,1
19,9,28,33403.796,9.220872584116892,23.710815216300585,3.5714285714285716,0.35714285714285715,2.111111111111111,1,1,2,2,1.0,1.0,1.0,11.0,11.0,1.0,1.0,1.0,0.5,1,1,1,0
18,10,28,11299.738,9.220872584116892,29.638519020375732,2.2857142857142856,0.2857142857142857,1.8,0,0,2,2,2.0,2.0,2.0,10.0,10.0,2.0,2.0,2.0,1.0,1,1,1,1
17,11,28,-988.315,9.220872584116892,36.224856580459225,1.2857142857142858,0.21428571428571427,1.5454545454545454,1,1,2,2,3.0,3.0,3.0,9.0,9.0,3.0,3.0,3.0,1.5,1,1,1,1
16,12,28,-15019.946,9.220872584116892,43.469827896551074,0.5714285714285714,0.14285714285714285,1.3333333333333333,0,0,2,2,4.0,4.0,4.0,8.0,8.0,4.0,4.0,4.0,2.0,1,1,1,1
15,13,28,-16850.719,9.220872584116892,51.373432968651265,0.14285714285714285,0.07142857142857142,1.1538461538461537,1,1,2,2,5.0,5.0,5.0,7.0,7.0,5.0,5.0,5.0,2.5,1,1,1,1
14,14,28,-21492.7971,9.220872584116892,59.93567179675981,0.0,0.0,1.0,0,0,2,2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,1,1,1,1
13,15,28,-7147.856,9.220872584116892,69.15654438087671,0.14285714285714285,-0.07142857142857142,0.8666666666666667,1,1,2,2,5.0,5.0,7.0,5.0,5.0,7.0,5.0,5.0,2.5,1,1,1,1
12,16,28,4073.203,9.220872584116892,79.03605072100194,0.5714285714285714,-0.14285714285714285,0.75,0,0,2,2,4.0,4.0,8.0,4.0,4.0,8.0,4.0,4.0,2.0,1,0,0,1
20,9,29,40150.19,9.43913067739236,23.43508306111207,4.172413793103448,0.3793103448275862,2.2222222222222223,1,0,2,3,1.0,0.0,1.0,11.0,0.0,0.0,1.0,0.0,0.0,0,1,1,0
19,10,29,18399.803,9.43913067739236,29.293853826390087,2.793103448275862,0.3103448275862069,1.9,0,1,2,2,2.0,1.0,2.0,10.0,11.0,1.0,2.0,1.0,0.6666666666666666,1,1,1,1
18,11,29,2679.994,9.43913067739236,35.80359912114344,1.6896551724137931,0.2413793103448276,1.6363636363636365,1,0,2,2,3.0,2.0,3.0,9.0,10.0,2.0,3.0,2.0,1.2,1,1,1,1
17,12,29,-10612.36,9.43913067739236,42.96431894537213,0.8620689655172413,0.1724137931034483,1.4166666666666667,0,1,2,2,4.0,3.0,4.0,8.0,9.0,3.0,4.0,3.0,1.7142857142857142,1,1,1,1
16,13,29,-18207.762,9.43913067739236,50.776013299076155,0.3103448275862069,0.10344827586206896,1.2307692307692308,1,0,2,2,5.0,4.0,5.0,7.0,8.0,4.0,5.0,4.0,2.2222222222222223,1,1,1,1
15,14,29,-21895.08154,9.43913067739236,59.23868218225551,0.034482758620689655,0.034482758620689655,1.0714285714285714,0,1,2,2,6.0,5.0,6.0,6.0,7.0,5.0,6.0,5.0,2.727272727272727,1,1,1,1
14,15,29,-16952.849,9.43913067739236,68.3523255949102,0.034482758620689655,-0.034482758620689655,0.9333333333333333,1,0,2,2,5.0,6.0,7.0,5.0,6.0,6.0,5.0,6.0,2.727272727272727,1,1,1,1
13,16,29,-3094.423,9.43913067739236,78.11694353704023,0.3103448275862069,-0.10344827586206896,0.8125,0,1,2,2,4.0,5.0,8.0,4.0,5.0,7.0,4.0,5.0,2.2222222222222223,1,1,0,1
20,10,30,23280.12,9.654893846056297,28.964681538168897,3.3333333333333335,0.3333333333333333,2.0,0,0,2,3,2.0,0.0,2.0,10.0,0.0,0.0,2.0,0.0,0.0,1,1,1,1
19,11,30,8474.67,9.654893846056297,35.40127743553976,2.1333333333333333,0.26666666666666666,1.7272727272727273,1,1,2,2,3.0,1.0,3.0,9.0,11.0,1.0,3.0,1.0,0.75,1,1,1,1
18,12,30,-8881.373,9.654893846056297,42.481532922647716,1.2,0.2,1.5,0,0,2,2,4.0,2.0,4.0,8.0,10.0,2.0,4.0,2.0,1.3333333333333333,1,1,1,1
17,13,30,-15864.116,9.654893846056297,50.205447999492755,0.5333333333333333,0.13333333333333333,1.3076923076923077,1,1,2,2,5.0,3.0,5.0,7.0,9.0,3.0,5.0,3.0,1.875,1,1,1,1
16,14,30,-24432.962,9.654893846056297,58.57302266607488,0.13333333333333333,0.06666666666666667,1.1428571428571428,0,0,2,2,6.0,4.0,6.0,6.0,8.0,4.0,6.0,4.0,2.4,1,1,1,1
15,15,30,-20200.856,9.654893846056297,67.58425692239409,0.0,0.0,1.0,1,1,2,2,5.0,5.0,7.0,5.0,7.0,5.0,5.0,5.0,2.5,1,1,1,1
14,16,30,-14059.254,9.654893846056297,77.23915076845039,0.13333333333333333,-0.06666666666666667,0.875,0,0,2,2,4.0,6.0,8.0,4.0,6.0,6.0,4.0,6.0,2.4,1,1,1,1
21,10,31,31181.594,9.868272403218972,28.649823106119605,3.903225806451613,0.3548387096774194,2.1,0,1,2,3,2.0,1.0,2.0,10.0,1.0,7.0,2.0,1.0,0.6666666666666666,0,1,1,0
20,11,31,12246.031,9.868272403218972,35.01645046303507,2.6129032258064515,0.2903225806451613,1.8181818181818181,1,0,2,3,3.0,0.0,3.0,9.0,0.0,0.0,3.0,0.0,0.0,1,1,1,1
19,12,31,-3122.152,9.868272403218972,42.01974055564209,1.5806451612903225,0.22580645161290322,1.5833333333333333,0,1,2,2,4.0,1.0,4.0,8.0,11.0,1.0,4.0,1.0,0.8,1,1,1,1
18,13,31,-14950.709,9.868272403218972,49.65969338394065,0.8064516129032258,0.16129032258064516,1.3846153846153846,1,0,2,2,5.0,2.0,5.0,7.0,10.0,2.0,5.0,2.0,1.4285714285714286,1,1,1,1
17,14,31,-22949.037,9.868272403218972,57.936308947930755,0.2903225806451613,0.0967741935483871,1.2142857142857142,0,1,2,2,6.0,3.0,6.0,6.0,9.0,3.0,6.0,3.0,2.0,1,1,1,1
16,15,31,-24440.54442,9.868272403218972,66.8495872476124,0.03225806451612903,0.03225806451612903,1.0666666666666667,1,0,2,2,5.0,4.0,7.0,5.0,8.0,4.0,5.0,4.0,2.2222222222222223,1,1,1,1
15,16,31,-19042.531,9.868272403218972,76.39952828298561,0.03225806451612903,-0.03225806451612903,0.9375,0,1,2,2,4.0,5.0,8.0,4.0,7.0,5.0,4.0,5.0,2.2222222222222223,1,1,1,1
14,17,31,-7034.552,9.868272403218972,86.58613205405035,0.2903225806451613,-0.0967741935483871,0.8235294117647058,1,0,2,2,3.0,6.0,9.0,3.0,6.0,6.0,3.0,6.0,2.0,1,0,1,1
21,11,32,18640.152,10.079368399158984,34.64782887210902,3.125,0.3125,1.9090909090909092,1,1,2,3,3.0,1.0,3.0,9.0,1.0,7.0,3.0,1.0,0.75,1,1,1,1
20,12,32,-828.901,10.079368399158984,41.57739464653082,2.0,0.25,1.6666666666666667,0,0,2,3,4.0,0.0,4.0,8.0,0.0,0.0,4.0,0.0,0.0,1,1,1,1
19,13,32,-11099.368,10.079368399158984,49.13692094590006,1.125,0.1875,1.4615384615384615,1,1,2,2,5.0,1.0,5.0,7.0,11.0,1.0,5.0,1.0,0.8333333333333334,1,1,1,1
18,14,32,-24077.689,10.079368399158984,57.32640777021673,0.5,0.125,1.2857142857142858,0,0,2,2,6.0,2.0,6.0,6.0,10.0,2.0,6.0,2.0,1.5,1,1,1,1
17,15,32,-24304.876,10.079368399158984,66.14585511948084,0.125,0.0625,1.1333333333333333,1,1,2,2,5.0,3.0,7.0,5.0,9.0,3.0,5.0,3.0,1.875,1,1,1,1
16,16,32,-26015.53714,10.079368399158984,75.5952629936924,0.0,0.0,1.0,0,0,2,2,4.0,4.0,8.0,4.0,8.0,4.0,4.0,4.0,2.0,1,1,1,1
15,17,32,-13334.706,10.079368399158984,85.67463139285138,0.125,-0.0625,0.8823529411764706,1,1,2,2,3.0,5.0,9.0,3.0,7.0,5.0,3.0,5.0,1.875,1,1,1,1
14,18,32,-2200.352,10.079368399158984,96.3839603169578,0.5,-0.125,0.7777777777777778,0,0,2,2,2.0,6.0,10.0,2.0,6.0,6.0,2.0,6.0,1.5,1,0,0,1
22,11,33,23780.113,10.288276478101775,34.29425492700592,3.6666666666666665,0.3333333333333333,2.0,1,0,2,3,3.0,2.0,3.0,9.0,2.0,6.0,3.0,2.0,1.2,1,1,1,0
21,12,33,4962.873,10.288276478101775,41.153105912407106,2.4545454545454546,0.2727272727272727,1.75,0,1,2,3,4.0,1.0,4.0,8.0,1.0,7.0,4.0,1.0,0.8,1,1,1,1
20,13,33,-8497.382,10.288276478101775,48.63548880557204,1.4848484848484849,0.21212121212121213,1.5384615384615385,1,0,2,3,5.0,0.0,5.0,7.0,0.0,0.0,5.0,0.0,0.0,1,1,1,1
19,14,33,-20514.328,10.288276478101775,56.74140360650071,0.7575757575757576,0.15151515151515152,1.3571428571428572,0,1,2,2,6.0,1.0,6.0,6.0,11.0,1.0,6.0,1.0,0.8571428571428571,1,1,1,1
18,15,33,-26337.35,10.288276478101775,65.47085031519312,0.2727272727272727,0.09090909090909091,1.2,1,0,2,2,5.0,2.0,7.0,5.0,10.0,2.0,5.0,2.0,1.4285714285714286,1,1,1,1
17,16,33,-26585.8583,10.288276478101775,74.82382893164929,0.030303030303030304,0.030303030303030304,1.0625,0,1,2,2,4.0,3.0,8.0,4.0,9.0,3.0,4.0,3.0,1.7142857142857142,1,1,1,1
16,17,33,-21003.34,10.288276478101775,84.80033945586919,0.030303030303030304,-0.030303030303030304,0.9411764705882353,1,0,2,2,3.0,4.0,9.0,3.0,8.0,4.0,3.0,4.0,1.7142857142857142,1,1,1,1
15,18,33,-9384.295,10.288276478101775,95.40038188785284,0.2727272727272727,-0.09090909090909091,0.8333333333333334,0,1,2,2,2.0,5.0,10.0,2.0,7.0,5.0,2.0,5.0,1.4285714285714286,1,1,0,1
23,11,34,31680.114,10.49508462297634,33.95468554492346,4.235294117647059,0.35294117647058826,2.090909090909091,1,1,2,3,3.0,3.0,3.0,9.0,3.0,5.0,3.0,3.0,1.5,0,1,1,0
22,12,34,8323.324,10.49508462297634,40.74562265390815,2.9411764705882355,0.29411764705882354,1.8333333333333333,0,0,2,3,4.0,2.0,4.0,8.0,2.0,6.0,4.0,2.0,1.3333333333333333,1,1,1,1
21,13,34,-2997.619,10.49508462297634,48.15391768189145,1.8823529411764706,0.23529411764705882,1.6153846153846154,1,1,2,3,5.0,1.0,5.0,7.0,1.0,7.0,5.0,1.0,0.8333333333333334,1,1,1,1
20,14,34,-19991.684,10.49508462297634,56.17957062887336,1.0588235294117647,0.17647058823529413,1.4285714285714286,0,0,2,3,6.0,0.0,6.0,6.0,0.0,0.0,6.0,0.0,0.0,1,1,1,1
19,15,34,-24548.702,10.49508462297634,64.82258149485388,0.47058823529411764,0.11764705882352941,1.2666666666666666,1,1,2,2,5.0,1.0,7.0,5.0,11.0,1.0,5.0,1.0,0.8333333333333334,1,1,1,1
